x	y	z	contour type	slice	weight	time frame
269.0	188.0	113.0	SAX_LV_ENDOCARDIAL	10	500	0
289.0	172.0	112.0	SAX_LV_ENDOCARDIAL	10	500	0
269.0	177.0	52.0	SAX_LV_ENDOCARDIAL	10	500	0
285.0	145.0	102.0	SAX_LV_ENDOCARDIAL	10	500	0
310.0	172.0	85.0	SAX_LV_ENDOCARDIAL	10	500	0
282.0	195.0	109.0	SAX_LV_ENDOCARDIAL	10	500	0
312.0	154.0	78.0	SAX_LV_ENDOCARDIAL	10	500	0
269.0	195.0	111.0	SAX_LV_ENDOCARDIAL	10	500	0
285.0	151.0	50.0	SAX_LV_ENDOCARDIAL	10	500	0
301.0	191.0	78.0	SAX_LV_ENDOCARDIAL	10	500	0
284.0	211.0	80.0	SAX_LV_ENDOCARDIAL	10	500	0
236.0	168.0	69.0	SAX_LV_ENDOCARDIAL	10	500	0
252.0	215.0	62.0	SAX_LV_ENDOCARDIAL	10	500	0
306.0	147.0	91.0	SAX_LV_ENDOCARDIAL	10	500	0
254.0	212.0	96.0	SAX_LV_ENDOCARDIAL	10	500	0
268.0	215.0	94.0	SAX_LV_ENDOCARDIAL	10	500	0
306.0	164.0	94.0	SAX_LV_ENDOCARDIAL	10	500	0
293.0	197.0	96.0	SAX_LV_ENDOCARDIAL	10	500	0
275.0	134.0	74.0	SAX_LV_ENDOCARDIAL	10	500	0
267.0	150.0	63.0	SAX_LV_ENDOCARDIAL	10	500	0
287.0	155.0	110.0	SAX_LV_ENDOCARDIAL	10	500	0
269.0	214.0	64.0	SAX_LV_ENDOCARDIAL	10	500	0
270.0	156.0	55.0	SAX_LV_ENDOCARDIAL	10	500	0
256.0	179.0	55.0	SAX_LV_ENDOCARDIAL	10	500	0
315.0	151.0	67.0	SAX_LV_ENDOCARDIAL	10	500	0
252.0	201.0	107.0	SAX_LV_ENDOCARDIAL	10	500	0
276.0	215.0	97.0	SAX_LV_ENDOCARDIAL	10	500	0
310.0	138.0	72.0	SAX_LV_ENDOCARDIAL	10	500	0
284.0	210.0	71.0	SAX_LV_ENDOCARDIAL	10	500	0
269.0	183.0	115.0	SAX_LV_ENDOCARDIAL	10	500	0
269.0	151.0	108.0	SAX_LV_ENDOCARDIAL	10	500	0
315.0	149.0	64.0	SAX_LV_ENDOCARDIAL	10	500	0
276.0	199.0	59.0	SAX_LV_ENDOCARDIAL	10	500	0
